Adobe	adobe.com	big_tech	1	workday
AIG	aig.com	banks_insurance	1	workday
Ally	ally.com	banks_insurance	1	workday
Amazon	amazon.com	big_tech	1	custom
American Express	americanexpress.com	banks_insurance	1	
Apple	apple.com	big_tech	1	custom
Bank of America	bankofamerica.com	banks_insurance	1	custom
BlackRock	blackrock.com	banks_insurance	1	workday
Chubb	chubb.com	banks_insurance	1	workday
Citi	citi.com	banks_insurance	1	custom
Discover	discover.com	banks_insurance	1	workday
Etsy	etsy.com	big_tech	1	greenhouse
Federal Reserve Bank of New York	newyorkfed.org	banks_insurance	1	workday
Goldman Sachs	goldmansachs.com	banks_insurance	1	custom
Google	google.com	big_tech	1	custom
IBM	ibm.com	big_tech	1	custom
Intuit	intuit.com	big_tech	1	workday
JPMorgan Chase	jpmorganchase.com	banks_insurance	1	custom
Mastercard	mastercard.com	banks_insurance	1	workday
Meta	meta.com	big_tech	1	custom
Microsoft	microsoft.com	big_tech	1	custom
Moody's	moodys.com	banks_insurance	1	workday
Morgan Stanley	morganstanley.com	banks_insurance	1	custom
Nasdaq	nasdaq.com	banks_insurance	1	workday
Netflix	netflix.com	big_tech	1	eightfold
Oracle	oracle.com	big_tech	1	oracle
Prudential Financial	prudential.com	banks_insurance	1	workday
S&P Global	spglobal.com	banks_insurance	1	workday
Salesforce	salesforce.com	big_tech	1	workday
Snap	snap.com	big_tech	1	greenhouse
Synchrony	synchrony.com	banks_insurance	1	workday
TIAA	tiaa.org	banks_insurance	1	workday
Travelers	travelers.com	banks_insurance	1	workday
Uber	uber.com	big_tech	1	custom
Vanguard	vanguard.com	banks_insurance	1	workday
Vimeo	vimeo.com	big_tech	1	greenhouse
Warby Parker	warbyparker.com	big_tech	1	greenhouse
Accion	accion.org	fintech_mission	1	
Ad Hoc	adhocteam.us	civic_tech	1	greenhouse
Addepar	addepar.com	fintech_core	1	greenhouse
Aira	aira.io	accessibility	1	
American Foundation for the Blind	afb.org	accessibility	1	
Athletics	athleticsnyc.com	ux_agencies	1	
Barrel	barrelny.com	ux_agencies	1	
Be My Eyes	bemyeyes.com	accessibility	1	
Big Human	bighuman.com	ux_agencies	1	
Civilla	civilla.com	civic_tech	1	
Coforma	coforma.io	civic_tech	1	greenhouse
Collins	wearecollins.com	ux_agencies	1	
Deel	deel.com	fintech_core	1	greenhouse
Dentsu	dentsu.com	ux_agencies	1	
Deque Systems	deque.com	accessibility	1	
Designit	designit.com	ux_agencies	1	
Droga5	droga5.com	ux_agencies	1	
EPAM	epam.com	ux_agencies	1	
Esusu	esusurent.com	fintech_mission	1	greenhouse
Fearless	fearless.tech	civic_tech	1	greenhouse
Flywire	flywire.com	fintech_core	1	greenhouse
Grameen America	grameenamerica.org	fintech_mission	1	
Greenwood	bankgreenwood.com	fintech_mission	1	
Helen Keller Services	helenkeller.org	accessibility	1	
Kiva	kiva.org	fintech_mission	1	greenhouse
LendingClub	lendingclub.com	fintech_mission	1	greenhouse
Lippincott	lippincott.com	ux_agencies	1	
Local Projects	localprojects.net	ux_agencies	1	
Marqeta	marqeta.com	fintech_core	1	greenhouse
MoCaFi	mocafi.com	fintech_mission	1	
MoneyLion	moneylion.com	fintech_mission	1	greenhouse
Nava PBC	navapbc.com	civic_tech	1	greenhouse
Navan	navan.com	fintech_core	1	greenhouse
Pentagram	pentagram.com	ux_agencies	1	manual
Petal	petalcard.com	fintech_mission	1	greenhouse
Publicis Sapient	publicissapient.com	ux_agencies	1	
Rangle	rangle.io	ux_agencies	1	
Remitly	remitly.com	fintech_core	1	greenhouse
Rippling	rippling.com	fintech_core	1	
Siegel+Gale	siegelgale.com	ux_agencies	1	
Skylight	skylight.digital	civic_tech	1	
Slalom	slalom.com	ux_agencies	1	
Stash	stash.com	fintech_mission	1	greenhouse
Thoughtbot	thoughtbot.com	ux_agencies	1	
TPGi	tpgi.com	accessibility	1	
Truss	truss.works	civic_tech	1	greenhouse
U.S. Digital Response	usdigitalresponse.org	civic_tech	1	
